Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C14, C17, C18, C2, C24, C25, C3, C4, C5, C6, C9",0603,12,10uF,C96446
"C10, C11, C12, C13, C15, C16, C19, C20, C23, C7, C8",0402,11,100nF,C1525
"C21, C22",0402,2,22pF,C1555
"D1, D2, D3, D4, D5, D6",SOT-666-6_L1.6-W1.2-P0.50-LS1.6-BL,6,USBLC6-2P6_C2827693,C2827693
"J1, J2, J3, J4",Molex_0472861001,4,Molex 0472861001,C6961828
L1,0805,1,10u,C1046
LED1,LED0603-RD-YELLOW,1,Input Module Power,C72038
"R1, R10, R14, R9",0402,4,10k,C25744
R11,0402,1,20k,C25765
R12,0402,1,47k,C25792
R13,0603,1,680 1%,C23228
"R15, R19, R20, R21",0402,4,100k,C25741
R16,0402,1,1.5k 5%,C25867
R17,0402,1,330,C25104
"R18, R5, R6",0402,3,5.1k,C25905
"R2, R3",0402,2,4.7k,C25900
U1,SOT-23-3,1,XC6206P332MR-G,C5446
"U2, U5",SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,2,SY6280AAC,C55136
U3,QFN-28_L5.0-W5.0-P0.50-BL-EP,1,GL852G-OHY60_C7501404,C7501404
U4,QFN-20_L3.0-W3.0-P0.40-TL-EP1.7,1,CH32V003F4U6,C5299908
USB1,USB-C-SMD_TYPE-C16PIN,1,TYPE-C 16PIN 3MD(385),C2858270
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,12MHz,C9002
